STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
3820.0,"BORSOLA BEEL,  SARABBHATTI,  GUWAHATI",LAKE,ASSAM,20,33,0.3,2.4,6.8,7.7,430,585,22.6,29.4,2.40,5.80,2100,3900,3900,6400
2220.0,"CHAND DUBI BEEL,  CHAND DUBI, ASSAM",LAKE,ASSAM,20,27,4.6,9.0,6.8,7.6,92,153,2.4,2.8,0.80,2.10,360,910,730,2100
2206.0,"DALONI BEEL NEAR  JOGIGHOPA, ASSAM",LAKE,ASSAM,23,37,4.8,5.2,7.0,7.6,90,156,2.1,2.8,0.90,1.60,300,610,910,1400
2218.0,"DEEPOR BEEL AT  BORAGAON NEAR IASST,  GUWAHATI, ASSAM",LAKE,ASSAM,18,32,5.0,7.3,6.8,8.1,224,478,5.0,5.9,2.50,4.00,360,920,910,1600
1529.0,"DEEPOR BEEL NEAR  DHARAPUR CHARIALI,  GUWAHATI, ASSAM",LAKE,ASSAM,18,32,5.3,7.9,6.8,8.0,223,477,5.1,5.8,2.60,3.80,300,940,910,2000
3821.0,"DIPLAI BEEL AT SILGARA,  KOKRAJHAR",LAKE,ASSAM,21,37,4.6,5.5,6.7,7.6,103,138,1.8,2.5,0.80,2.10,300,620,720,1300
1263.0,"ELANGABEEL SYSTEM  (CONNECTED TO R.  KOLONG), ASSAM",LAKE,ASSAM,20,30,4.0,4.8,6.6,7.7,243,302,2.2,2.8,0.70,2.20,360,1100,720,2100
3787.0,"HOLUDUNGA BEEL NEAR  GAI NADI/ RIVER AT  SOMARAJAN, DHEMA JI",LAKE,ASSAM,22,24,4.2,9.2,6.7,7.8,126,223,2.0,2.8,0.90,2.20,300,720,910,1400
4337.0,"KAMALABARI LAKE  INSIDE KAMALABARI  CHILDREN,S PARK,  GELEKY",LAKE,ASSAM,18,33,4.0,6.8,6.6,7.5,49,88,2.3,2.7,0.70,1.10,300,730,360,1500
3812.0,"KAMALPUR BEEL,  KAMALPUR",LAKE,ASSAM,21,28,0.3,3.0,7.1,7.8,953,1076,24.4,29.6,2.30,3.60,300,1500,1400,3500
3783.0,"MAGURI BEEL, GUIJAN,  TINSUKIA",LAKE,ASSAM,22,23,4.0,9.7,6.8,7.6,154,182,2.1,2.7,0.70,2.00,300,720,720,1300
3800.0,MALINI BEEL NEAR  INDUTRIAL AREA AT  RAMNAGAR,LAKE,ASSAM,21,25,4.0,4.2,6.5,7.7,138,164,2.2,2.9,0.70,1.60,300,730,730,1500
2205.0,"MER BEEL AT  MADHABPUR, ASSAM",LAKE,ASSAM,22,23,4.0,7.2,6.5,7.8,140,180,2.1,2.6,0.50,1.20,300,720,720,1400
3808.0,PARASHALI BEEL AT  DEMORIA,LAKE,ASSAM,22,38,4.1,9.7,6.8,7.6,126,186,2.2,2.7,0.80,2.00,300,730,610,1500
3798.0,SAMAGURI BEEL IN  NAGAON DISTRICT,LAKE,ASSAM,19,30,4.0,8.0,6.5,7.6,87,131,2.3,2.6,0.80,4.00,360,720,910,1400
2215.0,"SARAN BEEL, ASSAM",LAKE,ASSAM,21,32,4.0,9.5,6.8,7.6,78,122,2.1,2.8,0.80,1.80,300,720,720,1500
3814.0,"SILSAKO BEEL, CHACHAL,  GUWAHATI",LAKE,ASSAM,20,35,0.3,5.0,7.0,7.8,462,594,12.6,19.7,1.20,2.00,1500,2800,2800,4400
3804.0,SON BEEL WATER AT  KARIMGANJ,LAKE,ASSAM,20,25,4.1,5.2,6.8,7.2,104,156,2.3,2.9,0.70,1.10,300,910,900,2000
