PC1,PC2,PC3,PC4,PC5,PC6,orig_Max Fecal Coliform,orig_Min Temperature,orig_Max BOD,orig_Max Temperature,orig_Max Conductivity,orig_Temperature_Range,orig_Min Fecal Coliform,orig_Max Total Coliform,orig_Min BOD,orig_Min Dissolved Oxygen,orig_Min Nitrate N + Nitrite N,orig_Min pH,orig_Max Nitrate N + Nitrite N,STN_Code,Water_Body_Type,Cluster_GMM,Cluster_0_Prob,Cluster_1_Prob,Cluster_2_Prob,Cluster_3_Prob,Cluster_4_Prob,Cluster_5_Prob,Cluster_6_Prob,Cluster_7_Prob,Cluster_8_Prob,Cluster_9_Prob,Cluster_10_Prob,Cluster_11_Prob,Cluster_12_Prob,Cluster_13_Prob
-0.8764659105738489,-0.8015563700128141,-1.636477637544626,0.6442125304677935,0.5471321092338072,0.1807549607282914,11.0,25.0,3.6,27.0,1446.0,2.0,3.0,210.0,1.8,5.0,0.57,7.4,3.89,4930.0,WETLAND,4,0.00018664607589673947,1.9015936656917254e-06,2.906866947892115e-101,3.2259738047248038e-18,0.9898418176844412,0.004475036338539163,1.0745627124388127e-09,1.4161831093156229e-07,2.9777281227220473e-05,0.0006270196765974822,3.42089012249675e-07,0.004837316567746192,1.559745501683685e-29,1.8213836951449744e-40
-0.7901401771301084,-0.2118132882889812,-0.7332328172662792,0.2203584023020181,0.7636880579502034,-0.370708180868117,914.0,21.0,3.7,27.0,2453.0,6.0,228.0,2420.0,1.2,4.2,0.32,7.3,1.88,4915.0,WETLAND,5,4.660085644973108e-18,1.85989699637151e-13,3.044465725905775e-171,2.1939613977248664e-06,0.004785077677114846,0.692740598555503,0.004474228403640015,8.634668990993523e-05,0.0022640152267874884,0.29564689641854336,6.430669176889702e-07,1.6532573700443844e-18,1.4261210223754498e-23,4.035371089270166e-32
-0.6630215183197548,-1.1345762306839238,-0.0374110822774026,1.5566402539524775,0.5350338080034,-0.2801330257226674,21.0,24.0,6.2,32.0,3294.5,8.0,9.0,240.0,1.0,4.3,0.55,7.3,1.88,4924.0,WETLAND,4,0.0005758385326071763,5.4506475005839565e-17,0.0,1.5082998246003124e-39,0.9879869783637208,0.004894197928426374,1.408234862994041e-07,8.193075813562207e-07,8.76693226231905e-05,0.006437037473083493,9.602423414713966e-13,1.731824751137041e-05,6.136661298503538e-219,1.7873917701036235e-42
1.9623769853989683,-1.711760451748919,-0.3179463385421417,0.0896997824945848,0.5802884588425474,-2.7233299994121354,43.0,23.0,35.8,27.0,2630.0,4.0,3.0,2400.0,5.4,0.3,0.32,6.8,4.95,4928.0,WETLAND,5,0.032352632744227984,1.0545161846145333e-58,6.164710275850559e-95,9.014843311914533e-202,4.2561765633324976e-14,0.9673919741454573,1.562632687717179e-09,3.126189336312445e-14,0.00010172715637830288,0.00015366439122920845,1.3232749788277232e-89,1.6351104482478643e-25,1.5514285818929556e-18,6.107431323473447e-42
-1.2218101986522831,-0.0185790181137845,-1.1598508574257156,-0.0852524637089184,-0.0346567728588913,-0.3240520338437661,403.0,21.0,2.7,26.0,1370.0,5.0,142.0,1046.0,1.2,4.8,0.43,7.0,1.94,4923.0,WETLAND,4,5.524002613751089e-12,0.005578214107488375,2.303300019569108e-93,0.1502455245273428,0.7508054657485123,0.07985391799567122,0.00032056596808349556,8.246331066031159e-06,5.5460679734425485e-05,0.012448370089454567,0.0006836619581404689,5.72588982399564e-07,3.346470714289842e-30,2.9265641581898576e-35
-1.8697408614905064,-0.05547385612622,-0.1207930677762235,0.6132598634446215,0.1764092215101428,0.0356526302571473,330.0,21.0,2.8,30.0,820.0,9.0,38.0,980.0,1.0,5.1,0.32,7.3,1.69,4920.0,WETLAND,1,2.1603209964049036e-09,0.6213789393562409,0.0,0.0018056341544398882,0.3652449476936518,0.0029210197257197174,0.00012520162819532383,1.4704056308385881e-08,1.4474631445639709e-05,0.002128757382717099,0.003672481057918432,0.002708527505293955,0.0,1.7710223894659394e-38
-1.5331445612234664,0.0292823386260245,-1.283431799481377,0.9993369146189712,-0.2012894229887496,0.1579690749397634,21.0,25.0,2.8,29.0,444.0,4.0,3.0,2400.0,1.2,5.7,0.38,7.1,1.75,4927.0,WETLAND,4,1.3669841214226615e-08,0.1386057525161156,2.2250364963292806e-270,1.823245306983963e-05,0.84310587012554,0.008924670712486274,1.9503375030625272e-07,0.006707258477911776,6.024524227727127e-06,0.0017142307791152792,0.00011132055583792605,0.0008064311521042966,3.8367189953199547e-259,2.1721054509225232e-35
-0.0448590750269119,-1.6371457982795812,-1.011937229272473,-0.5909452221478629,0.0271498312888104,1.3826565226108305,609.0,23.0,6.2,27.0,1188.0,4.0,4.0,2938.0,4.0,6.1,2.3000000000000003,7.2,5.88,4935.0,WETLAND,8,7.40268798541026e-06,6.201401752416302e-15,8.513050394334627e-78,3.744495755416554e-92,2.653059218338401e-09,0.008080195460442986,4.329125628187229e-28,3.721534569105989e-57,0.9794057002293557,1.608936147299264e-13,3.6884395301792326e-09,0.012506695280550692,0.0,3.236141487186642e-34
-2.6381140517589285,-0.0947470108392278,1.4696296341415231,0.0747714284493589,0.4255089767168,0.1042962547755759,15.0,16.0,4.2,32.0,401.0,16.0,3.0,240.0,1.4,5.6,0.32,7.5,2.12,4932.0,WETLAND,1,5.93267298253674e-12,0.9441719112818316,0.0,2.3957917541472274e-09,0.0010283958255534297,1.4142498492266724e-06,0.021323483701069134,7.06905366527193e-30,2.2766672194658102e-05,0.00012715639350089069,0.00023001741277401481,0.03309485206150219,0.0,7.736858450626403e-47
-0.7288113188840396,0.3300435294639408,-1.7805873474263323,-0.582808318864192,-0.4394986696428995,-0.0989240684998415,940.0,22.0,2.8,24.0,248.0,2.0,300.0,1600.0,2.1,4.0,0.8,6.8,2.0,2207.0,LAKE,3,4.330523721334374e-41,2.0260903415376807e-31,5.689619936425224e-18,0.9985436246519988,2.7039342260384136e-08,0.00023793675465754802,1.7672772066395924e-06,5.336196331727878e-09,2.8892424597742732e-05,0.0006721715379207582,0.0005155749780797784,2.3146397736543385e-38,0.0,1.0087939892249521e-27
-0.8357204459924479,0.30682338022147,-2.095446037355351,-0.724601158393679,-0.2003980367011971,0.0272745931879275,730.0,22.0,2.9,23.0,298.0,1.0,300.0,1500.0,2.0,4.5,0.9,6.9,1.2,3789.0,LAKE,3,2.0024458504265174e-39,3.832076427788543e-29,1.1075883424888183e-29,0.9971130587100175,7.289518561313519e-07,0.00131382045007821,3.0672300934140486e-06,1.9495875924418627e-09,4.1400651085326885e-05,0.0008482005951774321,0.0006797214621047988,3.193812341810739e-34,0.0,2.4599841252144473e-28
-1.0368775269081267,0.494432341416791,-0.5427436951704085,-0.4818119298449237,-0.4728576921676059,0.0470464563330123,910.0,20.0,2.8,27.0,153.0,7.0,360.0,2100.0,2.4,4.6,0.8,6.8,2.1,2220.0,LAKE,3,9.476797486664553e-56,1.7203712499060406e-47,3.0381147146025633e-179,0.8220362855601165,5.234570723202641e-12,1.1209826506660979e-05,8.979289585350908e-05,7.732333486054949e-11,0.0004940594838703752,0.007754207287363334,0.1696144448637321,3.288099696879695e-55,0.0,8.630047439609404e-26
-1.3817521403805475,0.193805848586323,1.5338230241851911,1.629918292931536,-0.6166344791811846,0.7329640522845098,610.0,23.0,2.8,37.0,156.0,14.0,300.0,1400.0,2.1,4.8,0.9,7.0,1.6,2206.0,LAKE,10,7.971705364519869e-41,1.08411508107871e-34,0.0,1.1026279208839412e-22,7.377220269028284e-12,5.131821010825928e-07,4.641032969920152e-07,6.823572546283202e-19,0.00019368330106941405,0.0007393292156533833,0.9990660101905017,1.436602811515096e-35,0.0,1.4079761483883406e-25
-0.2981843164133906,-0.7612175419464096,1.52360474857617,-0.7540456151643012,-0.6204502407990855,1.0560593738979005,920.0,18.0,5.9,32.0,478.0,14.0,360.0,1600.0,5.0,5.0,2.3000000000000003,6.8,4.0,2218.0,LAKE,8,6.806536372403974e-52,5.6116344705354434e-64,0.0,8.732350143447972e-62,3.8995097670365244e-26,2.2247856591463974e-06,4.708606722555427e-17,2.5255561291876256e-58,0.9999922050077182,5.3594585612714165e-12,5.5702012632215504e-06,1.0294807631310533e-63,0.0,3.0723071095797426e-26
-0.3853672502614189,-0.8072391823708488,1.4881036729924193,-0.7480461421824355,-0.6153897268570905,1.0442420855230088,940.0,18.0,5.8,32.0,477.0,14.0,300.0,2000.0,5.1,5.3,2.3000000000000003,6.8,3.8,1529.0,LAKE,8,2.103924002680753e-44,1.6807219437846643e-53,0.0,1.6307178162790386e-61,3.7765139630734854e-23,1.5583346514947995e-05,8.32008410740942e-17,1.0043919569146334e-57,0.9999731180810852,7.703224743381617e-12,1.1298564695802726e-05,1.7159232400522814e-52,0.0,1.7384960169445675e-27
-1.521183763496054,0.3842810360237354,1.9088683994292497,1.3060491233925655,-1.2040757498239132,0.4106245918621853,620.0,21.0,2.5,37.0,138.0,16.0,300.0,1300.0,1.8,4.6,0.8,6.7,2.1,3821.0,LAKE,10,3.4426304117109284e-41,7.090060433215406e-31,0.0,1.297933818465235e-19,2.4159520603445907e-12,8.230481200659798e-08,2.874398489159934e-06,1.2269856768929226e-23,0.00010834878957968402,0.00030021656159440326,0.9995884779431091,4.756300752214372e-35,0.0,1.735743779536945e-26
-1.0015859306803938,0.5524733683457618,0.2866782881450296,0.028645798304456,-0.9485550794402152,-0.1367759735739122,1100.0,20.0,2.8,30.0,302.0,10.0,360.0,2100.0,2.2,4.0,0.7,6.6,2.2,1263.0,LAKE,10,3.0453269707448914e-54,2.2348255995930406e-45,0.0,0.0031558602413523356,6.064165920100679e-13,2.484802525464011e-06,0.0003014111782476481,4.595199014835041e-12,0.0021225694511210233,0.03354921915933509,0.9608684551622172,3.101253984686381e-56,0.0,3.355317541917584e-24
-0.7319379750720358,0.3088507721373171,-1.8074337955892985,-0.632120667199803,-0.6698677067931669,-0.0476426433049396,720.0,22.0,2.8,24.0,223.0,2.0,300.0,1400.0,2.0,4.2,0.9,6.7,2.2,3787.0,LAKE,3,2.677259390809833e-38,6.804594290636899e-28,3.4808787235664015e-17,0.9953738281269991,3.337135001844191e-07,0.002037287668939824,1.988942267622948e-06,8.558758781406406e-10,0.00015864389415630873,0.0014770933516964249,0.0009508234465647158,5.5334567989494445e-34,0.0,2.977684541728938e-27
-1.5398696462493429,0.5407731861171583,1.46527803321547,0.2181061596269753,-1.086324712099508,-0.1940699601879196,730.0,18.0,2.7,33.0,88.0,15.0,300.0,1500.0,2.3,4.0,0.7,6.6,1.1,4337.0,LAKE,10,5.0179870352778504e-42,1.8017758269149902e-28,0.0,4.970069205035042e-08,2.3030985059813258e-10,1.5629459626853534e-06,0.0022630550144674758,1.1184098160501793e-23,0.0005463303556018843,0.004694286535024684,0.9924947152179413,7.427689618270094e-38,0.0,6.492928106331162e-29
-0.7644468091873572,0.3732245574871799,-2.06745580859931,-0.7067454074528554,-0.3892246456242491,-0.2154549849483675,720.0,22.0,2.7,23.0,182.0,1.0,300.0,1300.0,2.1,4.0,0.7,6.8,2.0,3783.0,LAKE,3,6.199748740434377e-39,7.7545454705947884e-28,5.598654250521811e-30,0.999368349919565,1.4490582516230654e-07,0.00020296398386857693,2.9944501071425246e-06,5.587313648266191e-09,5.593519820967637e-06,0.0003390295958348772,8.091803766476704e-05,3.413757703100271e-35,0.0,5.465000372255121e-29
-0.8477295549581368,0.5273996024453573,-1.3468317832740582,-0.5842699789745561,-0.9628166273408147,-0.4346685879261314,730.0,21.0,2.9,25.0,164.0,4.0,300.0,1500.0,2.2,4.0,0.7,6.5,1.6,3800.0,LAKE,3,1.9656979484394635e-40,3.488436005590631e-27,1.6404991991296782e-46,0.9982447783809575,2.3441725020561593e-08,5.125504807761597e-05,2.311103279607147e-05,1.689633401504594e-08,1.1380346336373606e-05,0.0012517396229006874,0.00041769523087240305,2.3159312662401743e-37,0.0,2.4564659576271677e-28
-0.777056999153455,0.6551140301804365,-2.128453594029438,-0.645070493759842,-0.8255346612145585,-0.6422697093472006,720.0,22.0,2.6,23.0,180.0,1.0,300.0,1400.0,2.1,4.0,0.5,6.5,1.2,2205.0,LAKE,3,2.006618914676536e-38,7.247571605732557e-24,2.5382656691082975e-30,0.969411599075203,3.145713140808612e-06,0.0012974016716356034,0.001480329640621266,2.9266470701027537e-05,6.458740863217782e-05,0.026991536532226277,0.0007221334878403406,4.6746988903001784e-35,9.83278010231314e-130,5.442327120082591e-27
-1.321420176471921,0.2505137257407893,2.0473763644345815,1.6239216622717854,-1.0042534782094383,0.4286256112423935,730.0,22.0,2.7,38.0,186.0,16.0,300.0,1500.0,2.2,4.1,0.8,6.8,2.0,3808.0,LAKE,10,1.1544304264489264e-40,2.5303110086444923e-33,0.0,1.582331935682171e-23,4.879775989747425e-13,6.367916300996691e-08,2.292629434042374e-06,1.1617704306517916e-23,0.00014042479503953675,0.0004445464087720622,0.9994126724871035,1.0074967454885575e-37,0.0,1.2171414167203858e-25
-1.0114973236304252,0.4150330712164749,0.5142253768571716,-0.2600004901377754,-1.262908425799011,-0.0586049250189112,720.0,19.0,2.6,30.0,131.0,11.0,360.0,1400.0,2.3,4.0,0.8,6.5,4.0,3798.0,LAKE,10,8.607424304993435e-49,8.153543360205566e-39,0.0,4.8905606291127865e-05,3.1506371382553726e-12,3.006574022859239e-05,0.00018953440091898152,1.9220204227169024e-17,0.008679483873490445,0.010925694562456293,0.9801263158134637,2.5508216656261224e-48,0.0,2.145677347715007e-25
-1.2155472349956349,0.3275710794606626,0.6047901959307962,0.5222981401146636,-0.7836574701893453,0.1640311386739926,720.0,21.0,2.8,32.0,122.0,11.0,300.0,1500.0,2.1,4.0,0.8,6.8,1.8,2215.0,LAKE,10,9.085823680522476e-40,2.8104472610510475e-30,0.0,2.488247089806048e-07,1.1315597603944571e-09,2.1875180403104845e-05,1.746961867795128e-05,1.4417710771733063e-13,0.0004673592698574973,0.003175695250493733,0.9963173507241551,2.1883568147425128e-36,0.0,1.3007305969743242e-26
1.431588547834974,-0.0075057573675029,2.640737479789815,0.2975699756373241,0.6077464844909986,-0.5866195584409404,2800.0,20.0,19.7,35.0,594.0,15.0,766.0,4400.0,7.05,0.3,1.2,7.0,2.0,3814.0,LAKE,8,9.19223866359346e-191,1.5046749117689758e-294,0.0,6.740717318250108e-87,1.9391284623353527e-99,2.0300168644361067e-31,1.553759063428399e-08,1.5009772386491684e-36,0.9998013238441398,0.00019866061617302233,4.9161312271062454e-46,0.0,0.0,2.0965781028739046e-12
-1.0490302685176869,0.4925546514817689,-1.1119963779287836,-0.701821611818664,-0.3872692102248758,-0.2632110134288176,910.0,20.0,2.9,25.0,156.0,5.0,300.0,2000.0,2.3,4.1,0.7,6.8,1.1,3804.0,LAKE,3,8.166527068085066e-45,6.0353224542039703e-33,2.419710095283177e-69,0.9977116006289601,3.3520270565851004e-09,1.9026513712297758e-05,6.017282675460664e-05,6.474650099611093e-10,6.894384801079686e-06,0.0008600689568838392,0.0013422326893961316,5.0068173719918784e-42,0.0,1.7537041690460888e-29
-1.182708853077382,0.4887735559044077,-0.8642899136678963,-0.8454993391658354,-0.017832911522392,-0.1342827519463793,730.0,19.0,2.9,25.0,108.0,6.0,360.0,1500.0,2.3,4.0,0.7,7.0,1.1,2225.0,POND,3,7.697370582138761e-51,3.2014699757377477e-40,2.0276867367620138e-97,0.9849659151924068,4.5353141895916267e-10,1.9959126139539253e-05,0.0007201317503847921,3.0744821046049164e-11,3.7661352534734705e-05,0.004389702922246072,0.009866629172011818,1.1564379283640291e-48,0.0,1.8196978375770985e-29
