PC1,PC2,PC3,PC4,PC5,PC6,orig_Max Fecal Coliform,orig_Min Temperature,orig_Max BOD,orig_Max Temperature,orig_Max Conductivity,orig_Temperature_Range,orig_Min Fecal Coliform,orig_Max Total Coliform,orig_Min BOD,orig_Min Dissolved Oxygen,orig_Min Nitrate N + Nitrite N,orig_Min pH,orig_Max Nitrate N + Nitrite N,STN_Code,Water_Body_Type,Cluster_GMM,Cluster_0_Prob,Cluster_1_Prob,Cluster_2_Prob
-1.5331445612234664,0.0292823386260245,-1.283431799481377,0.9993369146189712,-0.2012894229887496,0.1579690749397634,21.0,25.0,2.8,29.0,444.0,4.0,3.0,2400.0,1.2,5.7,0.38,7.1,1.75,4927.0,WETLAND,1,0.035592013631566465,0.963334425261361,0.0010735611070724835
-0.0448590750269119,-1.6371457982795812,-1.011937229272473,-0.5909452221478629,0.0271498312888104,1.3826565226108305,609.0,23.0,6.2,27.0,1188.0,4.0,4.0,2938.0,4.0,6.1,2.3000000000000003,7.2,5.88,4935.0,WETLAND,0,0.994631854871162,8.210304369606077e-12,0.005368145120626951
-2.6381140517589285,-0.0947470108392278,1.4696296341415231,0.0747714284493589,0.4255089767168,0.1042962547755759,15.0,16.0,4.2,32.0,401.0,16.0,3.0,240.0,1.4,5.6,0.32,7.5,2.12,4932.0,WETLAND,1,0.029104222879671442,0.968857703126353,0.002038073993975753
-0.7288113188840396,0.3300435294639408,-1.7805873474263323,-0.582808318864192,-0.4394986696428995,-0.0989240684998415,940.0,22.0,2.8,24.0,248.0,2.0,300.0,1600.0,2.1,4.0,0.8,6.8,2.0,2207.0,LAKE,1,1.2417425756059106e-11,0.937492560785655,0.0625074392019277
-0.8357204459924479,0.30682338022147,-2.095446037355351,-0.724601158393679,-0.2003980367011971,0.0272745931879275,730.0,22.0,2.9,23.0,298.0,1.0,300.0,1500.0,2.0,4.5,0.9,6.9,1.2,3789.0,LAKE,1,1.1230018622085021e-10,0.9517427497812385,0.04825725010646099
-1.0368775269081267,0.494432341416791,-0.5427436951704085,-0.4818119298449237,-0.4728576921676059,0.0470464563330123,910.0,20.0,2.8,27.0,153.0,7.0,360.0,2100.0,2.4,4.6,0.8,6.8,2.1,2220.0,LAKE,1,1.6879582714543862e-16,0.9068147448106826,0.09318525518931703
-1.3817521403805475,0.193805848586323,1.5338230241851911,1.629918292931536,-0.6166344791811846,0.7329640522845098,610.0,23.0,2.8,37.0,156.0,14.0,300.0,1400.0,2.1,4.8,0.9,7.0,1.6,2206.0,LAKE,1,5.463767992946735e-13,0.9608544842825625,0.039145515716891066
-0.2981843164133906,-0.7612175419464096,1.52360474857617,-0.7540456151643012,-0.6204502407990855,1.0560593738979005,920.0,18.0,5.9,32.0,478.0,14.0,360.0,1600.0,5.0,5.0,2.3000000000000003,6.8,4.0,2218.0,LAKE,2,2.596050080116879e-15,8.292892977032556e-07,0.9999991707106989
-0.3853672502614189,-0.8072391823708488,1.4881036729924193,-0.7480461421824355,-0.6153897268570905,1.0442420855230088,940.0,18.0,5.8,32.0,477.0,14.0,300.0,2000.0,5.1,5.3,2.3000000000000003,6.8,3.8,1529.0,LAKE,2,2.936532396319699e-12,2.069712298689972e-06,0.9999979302847648
-1.521183763496054,0.3842810360237354,1.9088683994292497,1.3060491233925655,-1.2040757498239132,0.4106245918621853,620.0,21.0,2.5,37.0,138.0,16.0,300.0,1300.0,1.8,4.6,0.8,6.7,2.1,3821.0,LAKE,1,6.015591178640593e-13,0.9686444471890076,0.031355552810390735
-1.0015859306803938,0.5524733683457618,0.2866782881450296,0.028645798304456,-0.9485550794402152,-0.1367759735739122,1100.0,20.0,2.8,30.0,302.0,10.0,360.0,2100.0,2.2,4.0,0.7,6.6,2.2,1263.0,LAKE,1,3.3889558301199775e-17,0.918823071074983,0.08117692892501667
-0.7319379750720358,0.3088507721373171,-1.8074337955892985,-0.632120667199803,-0.6698677067931669,-0.0476426433049396,720.0,22.0,2.8,24.0,223.0,2.0,300.0,1400.0,2.0,4.2,0.9,6.7,2.2,3787.0,LAKE,1,9.787106084450456e-11,0.8953913160425784,0.10460868385954995
-1.5398696462493429,0.5407731861171583,1.46527803321547,0.2181061596269753,-1.086324712099508,-0.1940699601879196,730.0,18.0,2.7,33.0,88.0,15.0,300.0,1500.0,2.3,4.0,0.7,6.6,1.1,4337.0,LAKE,1,2.394016010435708e-12,0.9889650949469107,0.011034905050695083
-0.7644468091873572,0.3732245574871799,-2.06745580859931,-0.7067454074528554,-0.3892246456242491,-0.2154549849483675,720.0,22.0,2.7,23.0,182.0,1.0,300.0,1300.0,2.1,4.0,0.7,6.8,2.0,3783.0,LAKE,1,8.322677836510326e-11,0.9708030112704482,0.029196988646324428
-0.8477295549581368,0.5273996024453573,-1.3468317832740582,-0.5842699789745561,-0.9628166273408147,-0.4346685879261314,730.0,21.0,2.9,25.0,164.0,4.0,300.0,1500.0,2.2,4.0,0.7,6.5,1.6,3800.0,LAKE,1,8.571422779844069e-12,0.9766122489814104,0.023387751010017884
-0.777056999153455,0.6551140301804365,-2.128453594029438,-0.645070493759842,-0.8255346612145585,-0.6422697093472006,720.0,22.0,2.6,23.0,180.0,1.0,300.0,1400.0,2.1,4.0,0.5,6.5,1.2,2205.0,LAKE,1,5.975765558955611e-12,0.9871859868196186,0.012814013174405205
-1.321420176471921,0.2505137257407893,2.0473763644345815,1.6239216622717854,-1.0042534782094383,0.4286256112423935,730.0,22.0,2.7,38.0,186.0,16.0,300.0,1500.0,2.2,4.1,0.8,6.8,2.0,3808.0,LAKE,1,2.4384146868018456e-13,0.9668745978629478,0.03312540213680817
-1.0114973236304252,0.4150330712164749,0.5142253768571716,-0.2600004901377754,-1.262908425799011,-0.0586049250189112,720.0,19.0,2.6,30.0,131.0,11.0,360.0,1400.0,2.3,4.0,0.8,6.5,4.0,3798.0,LAKE,1,8.212590655281977e-15,0.8766170593530151,0.12338294064697689
-1.2155472349956349,0.3275710794606626,0.6047901959307962,0.5222981401146636,-0.7836574701893453,0.1640311386739926,720.0,21.0,2.8,32.0,122.0,11.0,300.0,1500.0,2.1,4.0,0.8,6.8,1.8,2215.0,LAKE,1,6.171949364854705e-12,0.9677963785649137,0.03220362142891435
1.431588547834974,-0.0075057573675029,2.640737479789815,0.2975699756373241,0.6077464844909986,-0.5866195584409404,2800.0,20.0,19.7,35.0,594.0,15.0,766.0,4400.0,7.05,0.3,1.2,7.0,2.0,3814.0,LAKE,2,2.1680218518233908e-79,1.369310489512584e-11,0.9999999999863061
-1.0490302685176869,0.4925546514817689,-1.1119963779287836,-0.701821611818664,-0.3872692102248758,-0.2632110134288176,910.0,20.0,2.9,25.0,156.0,5.0,300.0,2000.0,2.3,4.1,0.7,6.8,1.1,3804.0,LAKE,1,2.0198103188586523e-12,0.9845773518729205,0.015422648125059332
-1.182708853077382,0.4887735559044077,-0.8642899136678963,-0.8454993391658354,-0.017832911522392,-0.1342827519463793,730.0,19.0,2.9,25.0,108.0,6.0,360.0,1500.0,2.3,4.0,0.7,7.0,1.1,2225.0,POND,1,6.935386689863238e-14,0.9823228456266421,0.017677154373288498
-1.19413644804081,0.3332808552906043,1.1364634903264157,0.7720156739260379,-1.255670477948383,0.1898341733517309,730.0,21.0,2.6,34.0,128.0,13.0,300.0,1500.0,2.1,4.0,0.9,6.6,2.0,2214.0,POND,1,1.6456400650638805e-12,0.9497206708618597,0.050279329136495
-1.4568114249361543,0.4449936716469101,-0.6542495954868468,-0.4267405326241197,0.1058940664379395,0.4834113846435767,1100.0,20.0,2.6,27.0,309.0,7.0,300.0,2000.0,2.2,6.5,0.8,7.1,2.0,2219.0,POND,1,4.490702436058336e-14,0.9399512487716906,0.060048751228264724
-1.8133693649205127,0.5625582378011345,1.3897466269866248,0.194930244854962,-0.7305471332258885,0.2858402846962969,910.0,18.0,2.6,33.0,118.0,15.0,300.0,1500.0,2.1,5.6,0.8,6.8,1.3,3772.0,POND,1,1.0429999035032125e-13,0.9763871383069771,0.02361286169291826
-1.545754743371415,0.4361268234268481,1.301597428277401,0.690647976007452,-0.8120262403318722,0.2611321937053691,720.0,20.0,2.8,34.0,96.0,14.0,300.0,1400.0,2.1,4.7,0.8,6.8,1.2,2208.0,POND,1,1.0377989594429082e-12,0.9746124743631218,0.02538752563584069
-1.166539926771866,0.6836499152333411,1.1151095303036416,0.0243244589123418,-0.2480678763785666,0.8292760511835309,940.0,19.0,2.8,32.0,250.0,13.0,610.0,1900.0,2.3,5.7,0.9,7.0,4.0,2216.0,POND,2,7.362523532022038e-39,0.01930035641539883,0.9806996435846016
-1.3752045150047023,0.2960982854931887,-0.6027839301141856,-0.456588058089575,-0.0066236179526051,0.4391356823600116,730.0,20.0,2.7,27.0,134.0,7.0,300.0,1400.0,2.2,5.5,0.9,7.1,2.0,2221.0,POND,1,2.189697232774171e-11,0.9512829822920769,0.048717017686026064
-1.70156850194468,0.5171817657792892,1.6616595376989716,0.0474268604097875,-0.9777103315952164,-7.826914189177568e-05,910.0,17.0,2.6,33.0,114.0,16.0,300.0,1500.0,2.0,4.2,0.8,6.7,1.2,2209.0,POND,1,1.1406982561147978e-12,0.9880096709400231,0.011990329058835887
-1.5268370712059764,0.5604144618750748,-0.3072779255214521,0.4023150725657112,-0.1209501923192153,0.5228925285051419,910.0,22.0,2.8,30.0,198.0,8.0,300.0,1500.0,2.3,7.0,0.7,7.0,1.3,2212.0,POND,1,1.3168931806378611e-14,0.9539557941378524,0.046044205862134306
-1.8055696701296728,0.7030105622312451,1.5967326651033702,0.0039968259950873,-1.067929452169971,0.1050082550987044,720.0,17.0,2.5,33.0,86.0,16.0,360.0,910.0,2.1,5.4,0.8,6.6,1.3,2227.0,POND,1,8.35421200117999e-16,0.9781749835328237,0.02182501646717533
-1.4515961449053307,0.5341590480286607,0.2333939317560142,0.6825437832380716,-0.5490627827435144,0.4689973702348805,940.0,22.0,2.7,32.0,355.0,10.0,300.0,1500.0,2.3,6.8,0.8,6.8,1.1,2213.0,POND,1,9.972796393100326e-15,0.9525283243486042,0.04747167565138618
-1.8752722430391424,0.6115014345483386,1.34461368191454,-0.0290759113269389,-0.7058283231423294,-0.0402241497829599,730.0,17.0,2.6,32.0,104.0,15.0,300.0,1100.0,1.9,4.8,0.6,6.8,1.3,1532.0,POND,1,8.014033379042785e-12,0.9926681882441959,0.007331811747790213
-1.543215024510709,0.2382061398936323,1.8514886151934784,0.4059234981354406,0.0142507303028492,0.392363737365997,940.0,18.0,2.8,34.0,428.0,16.0,360.0,1600.0,2.4,4.2,0.8,7.2,1.6,3809.0,POND,1,1.0620046141035234e-14,0.9309052077433508,0.06909479225663871
-1.4451559603592652,0.3002839296770081,2.034686942688595,1.6478983046365443,-0.8144582993637371,0.5062104638274761,730.0,22.0,2.7,38.0,104.0,16.0,300.0,1500.0,2.2,4.5,0.7,6.9,2.3,2223.0,POND,1,7.666865592189187e-14,0.9676008155415716,0.03239918445835218
-1.563486800210083,0.4525058112293368,1.547665100455517,0.5572826413223563,-0.7314058536626333,0.0011963143978773,600.0,19.0,6.8,34.0,96.0,15.0,300.0,910.0,2.1,4.7,0.7,6.8,1.1,4006.0,POND,1,3.683092258903964e-12,0.9839934598062247,0.016006540190092122
-1.3830280214096264,0.4940846344143091,-0.3153196107318122,0.362877902577339,-0.4800249712152608,0.3898151236843712,620.0,22.0,2.8,30.0,353.0,8.0,300.0,1400.0,2.3,6.8,0.8,6.8,1.3,2211.0,POND,1,5.12496613334029e-13,0.9636998007074746,0.036300199292012496
-0.8487279903842884,0.3116792171412695,-1.503888684689355,-0.4024528741576323,-0.2573333817325272,-0.0505587064356632,730.0,22.0,2.9,25.0,162.0,3.0,300.0,1600.0,2.3,4.0,0.8,6.9,1.3,3806.0,POND,1,3.854140790011681e-11,0.9670199011512826,0.03298009881017633
-1.1421485733571624,0.2379221839642105,1.3605200695591295,1.7812161625138463,-0.7181058931953225,0.5509471902100506,730.0,24.0,2.7,37.0,136.0,13.0,300.0,2000.0,2.5,4.5,0.8,6.9,1.7,2222.0,POND,1,1.4672345547902126e-14,0.966244271599963,0.03375572840002278
-1.5225623635842995,0.3129404611638877,2.2194238347987056,1.728922940094252,-0.8426241548008849,0.5377073353610383,720.0,22.0,2.6,38.5,133.0,17.0,300.0,1400.0,2.1,4.6,0.7,6.9,2.2,2224.0,POND,1,8.980024510758903e-14,0.9694030424113054,0.03059695758860494
-1.601111942053843,0.3971003113669218,1.3200216502332585,0.7025417392540713,-0.4563284764783956,0.4688941791456403,910.0,20.0,2.5,34.0,116.0,14.0,300.0,2000.0,2.1,4.9,0.8,7.0,1.4,2210.0,POND,1,7.165462714490616e-14,0.9564980795596961,0.04350192044023224
-1.491282102567899,0.2205156391833909,1.7768077058650809,0.157966015318539,-1.4797475952968766,0.7051836442008479,910.0,18.0,2.5,34.0,92.0,16.0,300.0,1500.0,1.0,4.9,0.8,6.7,8.0,2226.0,POND,2,1.361023408475189e-12,0.47071464240020805,0.5292853575984311
-1.3520059572163197,0.1885378405193451,0.896012838024968,-0.4793268366224319,-0.5793894089676473,0.009301089416642,730.0,17.0,2.8,30.0,571.0,13.0,300.0,1500.0,2.4,4.3,1.0,6.8,1.5,2217.0,POND,1,6.382561622124091e-10,0.9817423037568989,0.018257695604844706
-1.7686677894918512,0.7090268425840354,1.5868629491801625,0.0150217202832228,-1.2077480527253128,-0.1033316643590708,910.0,17.0,2.8,33.0,110.0,16.0,300.0,1500.0,2.3,5.4,0.7,6.5,1.4,3775.0,POND,1,3.139596960374639e-14,0.9888058144742978,0.011194185525670832
-1.4939402101578698,0.4502116282632478,1.843586658516428,0.6330439435824279,-0.8263971224433467,0.3147850882943361,720.0,19.0,2.6,35.0,112.0,16.0,360.0,2000.0,2.3,4.3,0.9,6.8,1.2,4334.0,POND,1,1.8259366914180685e-16,0.9312833068200818,0.06871669317991846
-1.5995212568302757,0.2343061798882318,2.2308656476866595,1.4905340435840333,-0.6423640159461453,0.6274996119072414,720.0,21.0,2.6,38.0,195.0,17.0,300.0,1200.0,2.1,4.7,0.8,7.0,2.0,5137.0,WETLAND,1,7.291854638868003e-13,0.9618552396166452,0.03814476038262625
-1.5067731823419306,0.1757129434239286,2.007517803980747,1.5997666114095324,-0.6878194276294101,0.8449018802141172,730.0,22.0,2.6,38.0,202.0,16.0,300.0,1500.0,2.0,4.9,1.0,7.0,1.6,5136.0,WETLAND,1,2.1675493402248076e-13,0.935673417473197,0.06432658252658556
0.2366076681957049,3.3080996311103386,1.3202305892202686,-1.16829601503278,0.5284663483425088,0.4033943560579515,10678.0,15.0,6.0,28.0,392.0,13.0,766.0,31301.25,1.6,2.8,0.3,7.1,0.43,2557.0,LAKE,2,0.0,8.239547995778944e-35,1.0
0.5661940597507333,2.205152005703303,1.9849155492466015,-0.7858078228547143,0.8076334378749821,-0.5064201851473136,10678.0,15.0,30.0,30.0,1100.0,15.0,270.0,31301.25,1.5,3.6,0.3,7.2,0.44,2571.0,LAKE,2,2.992677382256318e-214,1.6585917683016164e-23,1.0
0.0938137946122985,2.17409388083474,1.6468880883804802,-0.2525413331846028,0.6992534549722403,0.1877169681125483,10678.0,17.0,12.0,31.0,962.0,14.0,230.0,31301.25,1.8,3.4,0.3,7.3,0.68,4296.0,LAKE,2,1.732335768514341e-195,8.351690737754775e-20,1.0
0.6527622184316969,3.1606235053527745,1.5873030634502954,0.0782806055971767,0.7572105391284187,0.6040546663344346,10678.0,19.0,14.0,32.0,995.0,13.0,766.0,31301.25,2.0,5.2,0.3,7.1,0.43,2573.0,POND,2,0.0,2.2406274955262135e-37,1.0
-0.0212237878430538,3.2523621753166587,2.36000718386622,-0.590955051980608,1.1949278223568365,0.7924747550818986,10678.0,15.0,11.0,32.0,831.0,17.0,766.0,31301.25,2.6,6.3,0.3,7.3,0.35,2574.0,POND,2,0.0,1.8406244945496092e-37,1.0
-1.7059746299578118,1.7637546181570023,2.115742697607035,-0.0042872546194629,-0.2864732641933774,0.767625045975611,9200.0,16.0,3.8,34.0,283.0,18.0,27.0,16000.0,1.8,7.8,0.4,7.0,2.4,2046.0,LAKE,2,8.470353342445939e-83,3.300689762672472e-06,0.9999966993102368
0.2168167959945324,-0.8186159839129704,-1.0185841969793383,1.2229063522417092,0.9729069732375076,-1.2058360199622324,170.0,26.0,35.8,29.0,2432.0,3.0,20.0,140.0,1.8,6.2,0.36,7.2,1.0,3164.0,POND,0,0.98074677692872,0.01835854939709926,0.0008946736741809034
2.4200395298150146,0.7651489821783446,0.9557681171010032,-0.0094630547455367,2.880513187345469,-1.2215637906300454,10678.0,22.0,35.8,29.0,790.0,7.0,766.0,1500.0,7.05,0.3,0.3,7.8,0.91,3031.0,LAKE,2,2.725572621776701e-171,3.8838218833872725e-27,1.0
1.6453610779441123,1.030885322307019,0.7572671710372517,0.2691536972785547,2.783154012174621,-0.5399490930244439,10678.0,22.0,35.8,29.0,790.0,7.0,766.0,1500.0,3.3,0.3,0.3,8.1,0.7,3476.0,LAKE,2,7.393017491419374e-167,8.362805512675897e-23,1.0
2.493570695032629,0.809285848124104,0.9302249628832462,-0.0605965474130066,2.512480704927721,-1.2994804611585695,10678.0,22.0,35.8,29.0,790.0,7.0,766.0,1500.0,7.05,0.3,0.41,7.6,0.58,3030.0,LAKE,2,2.986118256060874e-172,7.871952999333782e-27,1.0
-0.4675717999773457,1.1259201963708363,-0.7894888602144358,1.648111018554426,-2.584349607761206,-0.7747361350873061,2200.0,27.0,2.5,32.0,166.0,5.0,240.0,3500.0,1.0,3.0,0.32,5.800000000000001,0.32,5280.0,LAKE,1,9.732135047980408e-21,0.9125216035947686,0.08747839640523118
-1.3690898337358692,0.5113169605891055,-0.8240166724134899,1.2594270145522295,-2.166401914887946,-0.7013749389155803,350.0,25.0,1.7,31.0,59.0,6.0,8.0,540.0,1.0,4.2,0.32,6.1,0.62,3175.0,LAKE,1,0.001351685445135055,0.9965218124629481,0.002126502091916857
-0.1208231231473723,1.5660402734997492,-1.2097526231545097,1.5867086777308954,-2.3179088821785765,-0.5721527419692317,2400.0,28.0,5.0,31.0,226.0,3.0,490.0,3500.0,1.0,4.0,0.32,5.800000000000001,0.34,5103.0,LAKE,2,1.9591929674877543e-46,0.031103401443455556,0.9688965985565445
0.3917471525428854,1.4179021045926476,-1.1600514816743357,1.3353851918834407,-1.2886881937681371,-0.2166057467811306,2700.0,27.0,2.1,30.0,1981.0,3.0,766.0,3400.0,1.0,5.1,0.32,6.1,2.22,3177.0,LAKE,2,4.2180273590137934e-72,4.55801652754217e-05,0.999954419834725
1.145724237102565,1.2874508899229924,-0.6958440811418343,1.501194451998874,-1.9947022035778232,-1.529132469045131,3400.0,28.0,28.0,31.0,49.0,3.0,490.0,4700.0,1.1,1.0,0.32,5.9,0.35,3180.0,LAKE,2,2.3184496164722234e-61,5.291793706682729e-06,0.9999947082062931
