PC1,PC2,PC3,PC4,PC5,PC6,orig_Max Fecal Coliform,orig_Min Temperature,orig_Max BOD,orig_Max Temperature,orig_Max Conductivity,orig_Temperature_Range,orig_Min Fecal Coliform,orig_Max Total Coliform,orig_Min BOD,orig_Min Dissolved Oxygen,orig_Min Nitrate N + Nitrite N,orig_Min pH,orig_Max Nitrate N + Nitrite N,STN_Code,Water_Body_Type,Cluster
-1.5331445612234664,0.0292823386260245,-1.283431799481377,0.9993369146189712,-0.2012894229887496,0.1579690749397634,21.0,25.0,2.8,29.0,444.0,4.0,3.0,2400.0,1.2,5.7,0.38,7.1,1.75,4927.0,WETLAND,0
-0.0448590750269119,-1.6371457982795812,-1.011937229272473,-0.5909452221478629,0.0271498312888104,1.3826565226108305,609.0,23.0,6.2,27.0,1188.0,4.0,4.0,2938.0,4.0,6.1,2.3000000000000003,7.2,5.88,4935.0,WETLAND,0
-2.6381140517589285,-0.0947470108392278,1.4696296341415231,0.0747714284493589,0.4255089767168,0.1042962547755759,15.0,16.0,4.2,32.0,401.0,16.0,3.0,240.0,1.4,5.6,0.32,7.5,2.12,4932.0,WETLAND,0
-0.7288113188840396,0.3300435294639408,-1.7805873474263323,-0.582808318864192,-0.4394986696428995,-0.0989240684998415,940.0,22.0,2.8,24.0,248.0,2.0,300.0,1600.0,2.1,4.0,0.8,6.8,2.0,2207.0,LAKE,0
-0.8357204459924479,0.30682338022147,-2.095446037355351,-0.724601158393679,-0.2003980367011971,0.0272745931879275,730.0,22.0,2.9,23.0,298.0,1.0,300.0,1500.0,2.0,4.5,0.9,6.9,1.2,3789.0,LAKE,0
-1.0368775269081267,0.494432341416791,-0.5427436951704085,-0.4818119298449237,-0.4728576921676059,0.0470464563330123,910.0,20.0,2.8,27.0,153.0,7.0,360.0,2100.0,2.4,4.6,0.8,6.8,2.1,2220.0,LAKE,0
-1.3817521403805475,0.193805848586323,1.5338230241851911,1.629918292931536,-0.6166344791811846,0.7329640522845098,610.0,23.0,2.8,37.0,156.0,14.0,300.0,1400.0,2.1,4.8,0.9,7.0,1.6,2206.0,LAKE,0
-0.2981843164133906,-0.7612175419464096,1.52360474857617,-0.7540456151643012,-0.6204502407990855,1.0560593738979005,920.0,18.0,5.9,32.0,478.0,14.0,360.0,1600.0,5.0,5.0,2.3000000000000003,6.8,4.0,2218.0,LAKE,0
-0.3853672502614189,-0.8072391823708488,1.4881036729924193,-0.7480461421824355,-0.6153897268570905,1.0442420855230088,940.0,18.0,5.8,32.0,477.0,14.0,300.0,2000.0,5.1,5.3,2.3000000000000003,6.8,3.8,1529.0,LAKE,0
-1.521183763496054,0.3842810360237354,1.9088683994292497,1.3060491233925655,-1.2040757498239132,0.4106245918621853,620.0,21.0,2.5,37.0,138.0,16.0,300.0,1300.0,1.8,4.6,0.8,6.7,2.1,3821.0,LAKE,0
-1.0015859306803938,0.5524733683457618,0.2866782881450296,0.028645798304456,-0.9485550794402152,-0.1367759735739122,1100.0,20.0,2.8,30.0,302.0,10.0,360.0,2100.0,2.2,4.0,0.7,6.6,2.2,1263.0,LAKE,0
-0.7319379750720358,0.3088507721373171,-1.8074337955892985,-0.632120667199803,-0.6698677067931669,-0.0476426433049396,720.0,22.0,2.8,24.0,223.0,2.0,300.0,1400.0,2.0,4.2,0.9,6.7,2.2,3787.0,LAKE,0
-1.5398696462493429,0.5407731861171583,1.46527803321547,0.2181061596269753,-1.086324712099508,-0.1940699601879196,730.0,18.0,2.7,33.0,88.0,15.0,300.0,1500.0,2.3,4.0,0.7,6.6,1.1,4337.0,LAKE,0
-0.7644468091873572,0.3732245574871799,-2.06745580859931,-0.7067454074528554,-0.3892246456242491,-0.2154549849483675,720.0,22.0,2.7,23.0,182.0,1.0,300.0,1300.0,2.1,4.0,0.7,6.8,2.0,3783.0,LAKE,0
-0.8477295549581368,0.5273996024453573,-1.3468317832740582,-0.5842699789745561,-0.9628166273408147,-0.4346685879261314,730.0,21.0,2.9,25.0,164.0,4.0,300.0,1500.0,2.2,4.0,0.7,6.5,1.6,3800.0,LAKE,0
-0.777056999153455,0.6551140301804365,-2.128453594029438,-0.645070493759842,-0.8255346612145585,-0.6422697093472006,720.0,22.0,2.6,23.0,180.0,1.0,300.0,1400.0,2.1,4.0,0.5,6.5,1.2,2205.0,LAKE,0
-1.321420176471921,0.2505137257407893,2.0473763644345815,1.6239216622717854,-1.0042534782094383,0.4286256112423935,730.0,22.0,2.7,38.0,186.0,16.0,300.0,1500.0,2.2,4.1,0.8,6.8,2.0,3808.0,LAKE,0
-1.0114973236304252,0.4150330712164749,0.5142253768571716,-0.2600004901377754,-1.262908425799011,-0.0586049250189112,720.0,19.0,2.6,30.0,131.0,11.0,360.0,1400.0,2.3,4.0,0.8,6.5,4.0,3798.0,LAKE,0
-1.2155472349956349,0.3275710794606626,0.6047901959307962,0.5222981401146636,-0.7836574701893453,0.1640311386739926,720.0,21.0,2.8,32.0,122.0,11.0,300.0,1500.0,2.1,4.0,0.8,6.8,1.8,2215.0,LAKE,0
1.431588547834974,-0.0075057573675029,2.640737479789815,0.2975699756373241,0.6077464844909986,-0.5866195584409404,2800.0,20.0,19.7,35.0,594.0,15.0,766.0,4400.0,7.05,0.3,1.2,7.0,2.0,3814.0,LAKE,0
-1.0490302685176869,0.4925546514817689,-1.1119963779287836,-0.701821611818664,-0.3872692102248758,-0.2632110134288176,910.0,20.0,2.9,25.0,156.0,5.0,300.0,2000.0,2.3,4.1,0.7,6.8,1.1,3804.0,LAKE,0
-1.182708853077382,0.4887735559044077,-0.8642899136678963,-0.8454993391658354,-0.017832911522392,-0.1342827519463793,730.0,19.0,2.9,25.0,108.0,6.0,360.0,1500.0,2.3,4.0,0.7,7.0,1.1,2225.0,POND,0
-1.19413644804081,0.3332808552906043,1.1364634903264157,0.7720156739260379,-1.255670477948383,0.1898341733517309,730.0,21.0,2.6,34.0,128.0,13.0,300.0,1500.0,2.1,4.0,0.9,6.6,2.0,2214.0,POND,0
-1.4568114249361543,0.4449936716469101,-0.6542495954868468,-0.4267405326241197,0.1058940664379395,0.4834113846435767,1100.0,20.0,2.6,27.0,309.0,7.0,300.0,2000.0,2.2,6.5,0.8,7.1,2.0,2219.0,POND,0
-1.8133693649205127,0.5625582378011345,1.3897466269866248,0.194930244854962,-0.7305471332258885,0.2858402846962969,910.0,18.0,2.6,33.0,118.0,15.0,300.0,1500.0,2.1,5.6,0.8,6.8,1.3,3772.0,POND,0
-1.545754743371415,0.4361268234268481,1.301597428277401,0.690647976007452,-0.8120262403318722,0.2611321937053691,720.0,20.0,2.8,34.0,96.0,14.0,300.0,1400.0,2.1,4.7,0.8,6.8,1.2,2208.0,POND,0
-1.166539926771866,0.6836499152333411,1.1151095303036416,0.0243244589123418,-0.2480678763785666,0.8292760511835309,940.0,19.0,2.8,32.0,250.0,13.0,610.0,1900.0,2.3,5.7,0.9,7.0,4.0,2216.0,POND,0
-1.3752045150047023,0.2960982854931887,-0.6027839301141856,-0.456588058089575,-0.0066236179526051,0.4391356823600116,730.0,20.0,2.7,27.0,134.0,7.0,300.0,1400.0,2.2,5.5,0.9,7.1,2.0,2221.0,POND,0
-1.70156850194468,0.5171817657792892,1.6616595376989716,0.0474268604097875,-0.9777103315952164,-7.826914189177568e-05,910.0,17.0,2.6,33.0,114.0,16.0,300.0,1500.0,2.0,4.2,0.8,6.7,1.2,2209.0,POND,0
-1.5268370712059764,0.5604144618750748,-0.3072779255214521,0.4023150725657112,-0.1209501923192153,0.5228925285051419,910.0,22.0,2.8,30.0,198.0,8.0,300.0,1500.0,2.3,7.0,0.7,7.0,1.3,2212.0,POND,0
-1.8055696701296728,0.7030105622312451,1.5967326651033702,0.0039968259950873,-1.067929452169971,0.1050082550987044,720.0,17.0,2.5,33.0,86.0,16.0,360.0,910.0,2.1,5.4,0.8,6.6,1.3,2227.0,POND,0
-1.4515961449053307,0.5341590480286607,0.2333939317560142,0.6825437832380716,-0.5490627827435144,0.4689973702348805,940.0,22.0,2.7,32.0,355.0,10.0,300.0,1500.0,2.3,6.8,0.8,6.8,1.1,2213.0,POND,0
-1.8752722430391424,0.6115014345483386,1.34461368191454,-0.0290759113269389,-0.7058283231423294,-0.0402241497829599,730.0,17.0,2.6,32.0,104.0,15.0,300.0,1100.0,1.9,4.8,0.6,6.8,1.3,1532.0,POND,0
-1.543215024510709,0.2382061398936323,1.8514886151934784,0.4059234981354406,0.0142507303028492,0.392363737365997,940.0,18.0,2.8,34.0,428.0,16.0,360.0,1600.0,2.4,4.2,0.8,7.2,1.6,3809.0,POND,0
-1.4451559603592652,0.3002839296770081,2.034686942688595,1.6478983046365443,-0.8144582993637371,0.5062104638274761,730.0,22.0,2.7,38.0,104.0,16.0,300.0,1500.0,2.2,4.5,0.7,6.9,2.3,2223.0,POND,0
-1.563486800210083,0.4525058112293368,1.547665100455517,0.5572826413223563,-0.7314058536626333,0.0011963143978773,600.0,19.0,6.8,34.0,96.0,15.0,300.0,910.0,2.1,4.7,0.7,6.8,1.1,4006.0,POND,0
-1.3830280214096264,0.4940846344143091,-0.3153196107318122,0.362877902577339,-0.4800249712152608,0.3898151236843712,620.0,22.0,2.8,30.0,353.0,8.0,300.0,1400.0,2.3,6.8,0.8,6.8,1.3,2211.0,POND,0
-0.8487279903842884,0.3116792171412695,-1.503888684689355,-0.4024528741576323,-0.2573333817325272,-0.0505587064356632,730.0,22.0,2.9,25.0,162.0,3.0,300.0,1600.0,2.3,4.0,0.8,6.9,1.3,3806.0,POND,0
